participant,group,MOTION_mean_0to240
100,conventional,0.02099071552141984
101,vr_high,0.1580072563180389
102,vr_high,0.006690434527117743
103,conventional,0.014492948062252212
104,vr_low,0.006170316800319892
105,conventional,0.040055795783021764
106,vr_low,0.028715734271487783
107,conventional,0.08295839364329968
108,conventional,0.05002633922655752
109,vr_low,0.01624189027740308
110,vr_low,0.009720587627186115
111,vr_low,0.002444927267885449
112,vr_low,0.06794607643270863
113,vr_low,0.011558586067209635
114,conventional,0.17734141381147003
115,vr_low,0.019320687248837197
116,vr_high,0.0030802940072802137
117,conventional,0.027358937677927284
118,conventional,0.12774089841249706
