participant,group_collapsed,MOTION_mean_0to240
100,Conventional,0.04323090417193688
101,VR,0.1580072563180389
102,VR,0.006690434527117743
103,Conventional,0.014492948062252212
104,VR,0.006170316800319892
105,Conventional,0.040055795783021764
106,VR,0.028715734271487783
107,Conventional,0.08295839364329968
108,Conventional,0.05002633922655752
109,VR,0.01624189027740308
110,VR,0.009720587627186115
111,VR,0.002444927267885449
112,VR,0.06794607643270863
113,VR,0.011558586067209635
114,Conventional,0.17734141381147003
115,VR,0.019320687248837197
116,VR,0.0030802940072802137
117,Conventional,0.027358937677927284
118,Conventional,0.12774089841249706
119,Conventional,0.008594289776713872
120,VR,0.019138084973674255
121,VR,0.0013538027003717863
122,VR,0.0031642416678368986
123,Conventional,0.007989605972543359
124,VR,0.05698330963435205
125,Conventional,0.0
126,VR,0.009315246323188925
127,VR,0.008611502238394051
128,VR,0.00531343226941923
129,VR,0.0037800206445778393
130,VR,0.029479072012472865
131,Conventional,0.050845804729033245
132,VR,0.009167541647329913
133,VR,0.022925589332977902
134,Conventional,0.03814595350685217
135,VR,0.02797784037655218
136,Conventional,0.03557155832725883
137,VR,0.03477080123887085
138,Conventional,0.040837094398060186
139,VR,0.002545957254866756
140,VR,0.030645782260689845
141,Conventional,0.2238721140737955
142,Conventional,0.10632626955707866
143,Conventional,0.0802657558272282
144,Conventional,0.00825153584436823
145,Conventional,0.045435832755950555
146,Conventional,0.028325832773310414
