participant,group_collapsed,SCL_mean_0to240
100,Conventional,6.4266327396097545
101,VR,1.5608515220259627
102,VR,2.2450448722764853
103,Conventional,0.383517685647433
104,VR,4.284324105853836
105,Conventional,2.2684269763777656
106,VR,1.3890985986714561
107,Conventional,1.4492979445743066
108,Conventional,0.8422628593506912
109,VR,1.6290551469723382
110,VR,0.9722335612525543
111,VR,6.77010248546799
112,VR,0.42899709736617897
113,VR,1.9843371684352558
114,Conventional,1.8250404050201179
115,VR,3.62330940062801
116,VR,0.6149129961431026
117,Conventional,6.8041736957927546
118,Conventional,7.725709652950367
119,Conventional,0.5542507817782462
120,VR,4.282014867986242
121,VR,1.2910667882611355
122,VR,2.547085981980614
123,Conventional,0.23481195483356707
124,VR,2.410742720225968
125,Conventional,1.0473090948474904
126,VR,2.3059847141544294
127,VR,2.1721474407613277
128,VR,0.8086370239593088
129,VR,0.5074541467304031
130,VR,3.006177932471037
131,Conventional,2.2818263551965354
132,VR,0.23161228084471072
133,VR,3.3024125213424367
134,Conventional,3.2944972578932843
135,VR,5.157413841585319
136,Conventional,1.3881321800748507
137,VR,0.6964069543530544
138,Conventional,0.8511609112657607
139,VR,1.4872912640621265
140,VR,1.1986065130804977
141,Conventional,1.8872927599648635
142,Conventional,5.259280330687761
143,Conventional,2.1153412092104555
144,Conventional,3.6337635819613934
145,Conventional,12.652464115719
146,Conventional,2.0406080618624887
