subject_id,method,signal,SCL_mean,SCL_slope_per_min,SCR_pos_area,SCR_mean,HR_mean,HR_std,PVA_mean,PVA_std,HR_est_bpm,peak_count
10ali,custom,SCL,0.923584895484145,-0.009143984908068954,,,,,,,,
3hammad,conventional,SCL,0.3785014418536455,-0.0030705773078078314,,,,,,,,
4hassan,custom,SCL,4.429355665982291,0.23819066243887568,,,,,,,,
5jarar,conventional,SCL,2.2739723675075245,-0.04012147300292285,,,,,,,,
6sohaib,custom,SCL,1.3555647472025565,-0.05551193176951872,,,,,,,,
7rutaba,conventional,SCL,1.4039501999530735,0.2567090460844084,,,,,,,,
8maria,conventional,SCL,0.8420878013927076,-0.0015257508973988143,,,,,,,,
9hashaam,custom,SCL,1.4139681085364686,-0.23776999229588688,,,,,,,,
stress(01) abid ,conventional,SCL,5.267770131793287,-0.12188557895253999,,,,,,,,
10ali,custom,SCR,,,0.17752463117801098,-0.0007849142222491951,,,,,,
3hammad,conventional,SCR,,,0.03739073559577975,-0.00011563517773893585,,,,,,
4hassan,custom,SCR,,,2.4502784686029573,0.016390685924670998,,,,,,
5jarar,conventional,SCR,,,0.2175195744283221,-0.0019629572788442276,,,,,,
6sohaib,custom,SCR,,,0.1802320810774563,-0.0029562684490830036,,,,,,
7rutaba,conventional,SCR,,,0.9381740255181232,0.008513381502174872,,,,,,
8maria,conventional,SCR,,,0.22512053724933123,2.5435615719576175e-05,,,,,,
9hashaam,custom,SCR,,,0.09813190976219631,-0.009921671440081993,,,,,,
stress(01) abid ,conventional,SCR,,,1.8319925264803405,0.0007761917896046567,,,,,,
10ali,custom,HR,,,,,96.94596442026182,5.681785754325453,,,,
3hammad,conventional,HR,,,,,78.4488105495677,16.52947702931795,,,,
4hassan,custom,HR,,,,,79.5728095463066,5.952316345961178,,,,
5jarar,conventional,HR,,,,,81.23442628158668,9.92530213241357,,,,
6sohaib,custom,HR,,,,,81.85640127074174,9.125955907288905,,,,
7rutaba,conventional,HR,,,,,72.47742391586304,12.661617793548057,,,,
8maria,conventional,HR,,,,,66.14372888379627,10.504732871098046,,,,
9hashaam,custom,HR,,,,,82.0006314270378,7.345074775898634,,,,
stress(01) abid ,conventional,HR,,,,,74.80232491687492,8.012031305705884,,,,
10ali,custom,PVA,,,,,,,26.068063148303917,2.5185708307208623,,
3hammad,conventional,PVA,,,,,,,18.17963203521402,6.5749954325637034,,
4hassan,custom,PVA,,,,,,,6.643589414538865,1.4555678449218836,,
5jarar,conventional,PVA,,,,,,,15.20272443106541,5.444629390666867,,
6sohaib,custom,PVA,,,,,,,18.163335015124964,4.45110020552831,,
7rutaba,conventional,PVA,,,,,,,5.974533728079663,4.016146199235665,,
8maria,conventional,PVA,,,,,,,11.426039625422822,6.249113675352253,,
9hashaam,custom,PVA,,,,,,,50.618814053435415,8.275554218317296,,
stress(01) abid ,conventional,PVA,,,,,,,15.683582882984185,6.168131783958301,,
10ali,custom,BVP,,,,,,,,,99.6865020891861,98.66666666666667
3hammad,conventional,BVP,,,,,,,,,293.0237824318691,252.0
4hassan,custom,BVP,,,,,,,,,211.4229675685222,189.28571428571428
5jarar,conventional,BVP,,,,,,,,,587.5948311796586,470.6
6sohaib,custom,BVP,,,,,,,,,167.80954830470145,165.8
7rutaba,conventional,BVP,,,,,,,,,317.93247186327636,317.8
8maria,conventional,BVP,,,,,,,,,214.42267611504795,214.33333333333334
9hashaam,custom,BVP,,,,,,,,,171.1473983725108,145.5
stress(01) abid ,conventional,BVP,,,,,,,,,266.009508904892,215.33333333333334
