group,signal,n_participants,mean,std,min,max,median,q1,q3,sem
conventional,SCL,8,3.3263660288873083,2.8566168277426884,0.383517685647433,7.725709652950367,2.0467336906989417,1.2975391732684027,5.6854176824869604,1.0099665650742293
conventional,HR,8,76.93483299558704,6.957744059352047,68.26372124473254,90.36818222045898,76.1302401940028,72.68992383104631,79.45745747824509,2.459934003064124
conventional,PVA,8,24.210079316372457,17.530706358121225,6.797901452804606,59.13135931829611,16.812563712769887,13.739021184823166,32.96478553717335,6.198040672408821
conventional,TEMP,8,30.11856022590279,4.561838801879195,22.748975008924802,35.702318885326385,30.932318786879378,28.288995645195246,33.172356192154446,1.612853575744347
conventional,BVP,8,49.73660999979016,0.041789260946642225,49.69005900379717,49.78059372329095,49.73765771683315,49.69869480531361,49.77562752760653,0.014774734898072439
conventional,SCR,8,0.0005622836789383246,0.00609846837467035,-0.00790843371946112,0.013081186031848612,0.00011556396548247571,-0.0022876096249370586,0.0013417141146482969,0.0021561341712905534
stress,SCL,19,2.742799746641665,2.3276887305629543,0.38351768564743305,7.725709652950367,1.8250404050201179,1.180666079962005,3.9538167532409236,0.5340084183443364
stress,HR,19,82.6124781691206,9.325006847781587,68.26372124473254,103.6250165851911,80.69959626237552,77.98773044049742,89.09680425286294,2.1393032893318265
stress,PVA,19,22.55711810549941,15.303585019854745,5.2150539754579475,59.13135931829611,17.684493296245737,10.660791892483829,32.50596133589745,3.510883188180512
stress,TEMP,19,32.650516877797116,3.674394095419264,22.748975008924802,35.75239174524943,33.93073327620825,31.970406464691134,35.003643706440926,0.8429638179302693
stress,BVP,19,49.7012345258083,0.056963319746901594,49.579774633200344,49.80393521237013,49.68870573063692,49.67526582976183,49.73765771683316,0.013068281803438891
stress,SCR,19,-0.0006950743960737682,0.00784473079910576,-0.01677891178753366,0.015009428862985038,-0.000904472841060057,-0.003932222972812117,0.0007535517796628162,0.0017997046732938463
vr_high,SCL,3,1.4736031301485168,0.8185607459501316,0.6149129961431026,2.2450448722764853,1.5608515220259627,1.0878822590845325,1.902948197151224,0.4725962670223694
vr_high,HR,3,89.27845737020175,8.279337524762234,80.69959626237551,97.22162387768428,89.91415197054545,85.30687411646048,93.56788792411487,4.7800777486332455
vr_high,PVA,3,16.68289586784111,14.96967835793345,5.215053975457947,33.617607941826186,11.216025686239202,8.215539830848574,22.416816814032693,8.642747829634994
vr_high,TEMP,3,34.520938233534494,0.5810287520541303,34.17403961579005,35.1917208536466,34.19705423116684,34.18554692347844,34.694387542406716,0.33545710640536447
vr_high,BVP,3,49.72352039697315,0.06970527470908457,49.68032661676407,49.80393521237012,49.68629936178525,49.68331298927466,49.74511728707769,0.04024435911722679
vr_high,SCR,3,-0.004074134198983753,0.0014808180773679673,-0.005218775356578815,-0.0024017365122004494,-0.004601890728171994,-0.004910333042375405,-0.0035018136201862217,0.0008549507155892601
vr_low,SCL,8,2.6351821955809527,2.118452814238353,0.42899709736617897,6.77010248546799,1.806696157703797,1.2848823393167308,3.7885630769344667,0.7489861752858324
vr_low,HR,8,85.7903811422487,9.390372425461294,77.98647361159325,103.62501658519109,81.32961296538511,79.5481056278944,90.13861176600058,3.319998009955424
vr_low,PVA,8,23.10699023374822,14.581475921902395,6.492089048686127,47.6339005485177,22.269196387827396,12.717392275022965,29.37450206334392,5.1553302520427735
vr_low,TEMP,8,34.481065521289906,1.0746536385722687,32.96381356636683,35.752391745249426,34.78647396167119,33.436838037371636,35.278883321781954,0.37994743763062416
vr_low,BVP,8,49.657501850139624,0.0371540433780758,49.57977463320034,49.68870573063691,49.667200863063336,49.65133802584775,49.68351648047227,0.013135938010568268
vr_low,SCR,8,-0.0006852850449945895,0.010664286640645311,-0.016778911787533622,0.015009428862985032,-0.00023937928077994095,-0.0053046096293918755,0.0035399429100265827,0.0037703947000587027
