participant_id,SCL,HR,PVA,TEMP,BVP,SCR,group
100,5.31249901138503,73.25666787706572,15.940634129294034,32.91956383080318,49.77565574575729,0.00379593002026096,conventional
103,0.383517685647433,78.74495468576748,17.684493296245737,24.09538855791092,49.769742072547665,8.730571488060113e-05,conventional
105,2.2684269763777656,81.59496585567791,14.950175546854734,22.748975008924802,49.699570625500556,0.00014382221608435028,conventional
107,1.4492979445743066,68.26372124473254,6.797901452804606,30.843388475179673,49.69606734475276,0.013081186031848612,conventional
108,0.8422628593506912,70.98969169298807,10.105558098728459,29.68686467429002,49.70557336111863,0.0005236421461107424,conventional
114,1.8250404050201179,90.36818222045898,31.394314729968706,35.702318885326385,49.69005900379717,-0.0019626277607653433,conventional
117,6.8041736957927546,78.13855349977811,59.13135931829611,33.930733276208244,49.77561812155628,-0.00790843371946112,conventional
118,7.725709652950367,74.12192688822746,37.676197958787284,31.021249098579087,49.78059372329095,-0.003262555217452204,conventional
100,5.312499011385031,73.25666787706574,15.940634129294038,32.919563830803185,49.7756557457573,0.003795930020260935,stress
101,1.560851522025963,80.69959626237552,11.2160256862392,35.19172085364661,49.80393521237013,-0.005218775356578841,stress
102,2.2450448722764857,97.22162387768428,33.61760794182619,34.197054231166845,49.68032661676408,-0.002401736512200466,stress
103,0.38351768564743305,78.74495468576748,17.684493296245737,24.09538855791092,49.76974207254768,8.73057148806003e-05,stress
104,4.284324105853837,77.98647361159325,6.8053978150586305,35.75239174524943,49.670205042759584,0.015009428862985038,stress
105,2.268426976377765,81.59496585567793,14.950175546854739,22.748975008924802,49.69957062550056,0.00014382221608434705,stress
106,1.3890985986714564,81.04937206427256,18.327528427839283,32.96381356636684,49.6819062781951,-0.002895775415021363,stress
107,1.4492979445743066,68.26372124473254,6.797901452804606,30.843388475179673,49.69606734475277,0.013081186031848614,stress
108,0.8422628593506913,70.98969169298807,10.105558098728459,29.68686467429002,49.705573361118645,0.0005236421461107399,stress
109,1.6290551469723387,81.60985386649767,47.6339005485177,33.34671780109406,49.62764296678574,-0.012531112272503473,stress
110,0.9722335612525538,95.71607745846113,26.210864347815516,35.56089588363966,49.65923637886842,-0.000904472841060057,stress
111,6.77010248546799,103.6250165851911,14.688057095011079,34.8224082783858,49.579774633200344,0.011209387400461653,stress
112,0.42899709736617914,88.27945653518042,38.29812275389831,33.466878116130836,49.6641966833671,0.0009834614132148926,stress
113,1.9843371684352564,77.98898726940156,26.399961833159132,35.18487913449606,49.68870573063692,0.00042571427950017154,stress
114,1.8250404050201179,90.368182220459,31.39431472996871,35.702318885326385,49.69005900379717,-0.001962627760765359,stress
115,3.6233094006280107,80.06781174739214,6.492089048686131,34.75053964495659,49.688347087303804,-0.01677891178753366,stress
116,0.6149129961431027,89.91415197054546,5.2150539754579475,34.17403961579006,49.68629936178526,-0.004601890728172009,stress
117,6.8041736957927546,78.13855349977811,59.13135931829611,33.93073327620825,49.77561812155628,-0.007908433719461134,stress
118,7.725709652950367,74.12192688822746,37.676197958787284,31.021249098579084,49.780593723290956,-0.0032625552174522254,stress
101,1.5608515220259627,80.69959626237551,11.216025686239202,35.1917208536466,49.80393521237012,-0.005218775356578815,vr_high
102,2.2450448722764853,97.22162387768428,33.617607941826186,34.19705423116684,49.68032661676407,-0.0024017365122004494,vr_high
116,0.6149129961431026,89.91415197054545,5.215053975457947,34.17403961579005,49.68629936178525,-0.004601890728171994,vr_high
104,4.284324105853836,77.98647361159325,6.805397815058629,35.752391745249426,49.67020504275958,0.015009428862985032,vr_low
106,1.3890985986714561,81.04937206427256,18.32752842783928,32.96381356636683,49.68190627819509,-0.002895775415021353,vr_low
109,1.6290551469723382,81.60985386649767,47.6339005485177,33.34671780109406,49.62764296678574,-0.012531112272503444,vr_low
110,0.9722335612525543,95.71607745846113,26.210864347815512,35.56089588363965,49.65923637886842,-0.0009044728410600546,vr_low
111,6.77010248546799,103.62501658519109,14.688057095011077,34.822408278385794,49.57977463320034,0.011209387400461662,vr_low
112,0.42899709736617897,88.2794565351804,38.298122753898305,33.46687811613083,49.664196683367095,0.00098346141321489,vr_low
113,1.9843371684352558,77.98898726940155,26.39996183315913,35.18487913449606,49.68870573063691,0.00042571427950017273,vr_low
115,3.62330940062801,80.06781174739201,6.492089048686127,34.75053964495659,49.6883470873038,-0.016778911787533622,vr_low
